94,TIANCHAO SHANGPIN GUIRENJIU  6B/500ML/53%    สุราจีน,เหล้าจีน,6,0.50,53.00%,1150,0," 1,150 ",,,,,
95, ROBERT MONDAVI WINERY  CABERNET SAUVIGNON   12B/75CL/13.50% ,โรเบริด มอนเดวี่  คาร์เบอร์เน็ต ซาวิญอง ,12,0.75,13.50%,100,0, 100 ,,,,,
96, ROBERT MONDAVI TWIN OAKS INTL CABERNET SAUVIGNON CA INT   6B/75CL/13.50% ,โรเบริด มอนเดวี่  คาร์เบอร์เน็ต ซาวิญอง นาป้า เวลลี่ ,6,0.75,13.50%,3,0, 3 ,,,,,
97, ROBERT MONDAVI TWIN OAKS INTL CHARDONNAY CA INT   6B/75CL/13.50% ,โรเบริด มอนเดวี่ ทวิน โอ๊ค คาร์เบอร์เน็ต ,6,0.75,13.50%,8,0, 8 ,,,,,
98,ROBERT MONDAVI  RESERVE CABERNET SAUVIGNON  2015  6B/75CL/14.00% ,โรเบริด มอนเดวี่  รีเซอวี่  คาร์เบอร์เน็ต ซาวิญอง,6,0.75,14.00%,50,30, 20 ,,,,,
99,WOODBRIDGE BY ROBERT MONDAVI CABERNET SAUVIGNON CALIFORNIA 2016  12B/75CL/13.50%,วูดบริดจ์ โรเบริด มอนเดวี่  คาร์เบอรเน็ต   คาร์เบอร์เน็ต ซาวิญอง 0.75 ลิตร,12,0.75,13.50%,450,0, 450 ,,,,,
101,ZIPZ CABERNET SAUVIGNON         0.187L.,ซิป กาแบร์เน-โซวีญง   0.187 ลิตร,24,0.187,13.50%,232,0, 232 ,,,,,
102,"ZIPZ CARDONNAY, WHITE WINE   0.187L.",ซิป ชาร์ดอนเนย์  ไวท์ ไวน์ 0.187 ลิตร,24,0.187,13.50%,99,0, 99 ,,,,,
103,ZIPZ MOSCATO                              0.187L,ซิป มอสกาโต้ 0.187 ลิตร,24,0.187,13.50%,10,0, 10 ,,,,,
106,AYITA CABERNET SAUVIGNON SILVER 2012 0.75L,อายิต้า กาแบร์ เนโซวีญง ชิวเวอร์  0.75 ลิตร,12,0.75,13.50%,865,20, 845 ,,,,,
