ลำดับที่,รหัสสินค้า,รายละเอียดสินค้า,ชื่อภาษาไทย,"ปริมาณขวด
(ต่อ 1 ลัง)","ปริมาณ
ต่อขวด
(ลิตร)","Alcohol
Content",
107,H-005,HOEGAARDEN  WHITE  BOTTLE,ฮูการ์เดน ไวน์ เบียร์,24, 0.330 ,4.90%,
108,H-006,HOEGAARDEN  BEER BOTTLE ,ฮูการ์เดน  เบียร์  ,24, 0.330 ,4.90%,
109,H-007,HAVANA CLUB 7YO,ฮาวาน่า คลับ 7 ปี ,12, 0.750 ,40.00%,
110,J-001,JACK  DANIEL ,แจ๊คแดเนียล 1 ลิตร,12, 1.000 ,40.00%,
111,J-002,JACK  DANIEL SINGLE BARREL,แจ็ค ซิงเกิ้ล บาเรล ,6, 0.750 ,50.00%,
112,JW-001,JOHNNIE WALKER SPICE ROAD,จอห์น วอล์เกอร์ สไปร์ต โรด 1 ลิตร,12, 1.000 ,40.00%,
113,JW-002,JOHNNIE WALKER PLATINUM 18YO ,จอห์น วอล์เกอร์ แพล็ทตินัม 18 ปี ,6, 0.750 ,40.00%,
114,JW-003,JOHNNIE WALKER GOLD RESERVE ICE  BULLION ,จอห์น วอลเกอร์ โกล รีเซิฟ ไอซ์,6, 1.000 ,40.00%,
115,JW-004,JOHNNIE WALKER BLUE LABEL ,จอห์น วอลเกอร์ บลู 1 ลิตร,6, 1.000 ,40.00%,
116,JW-005,JOHNNIE WALKER RED LABEL ,จอห์น วอลเกอร์ เรด 1 ลิตร,12, 1.000 ,40.00%,
117,JW-006,JOHNNIE WALKER BLACK LABEL ,จอห์น วอลเกอร์ แบล็ค 1 ลิตร,12, 1.000 ,40.00%,
118,JW-007,JOHNNIE WALKER DOUBLE BLACK ,จอห์น วอล์เกอร์  ดับเบิ้ล แบล็ค 1 ลิตร,12, 1.000 ,40.00%,
119,JW-008,JOHNNIE WALKER SWING,จอนห์นี่ วอคเกอร์ สวิง 0.75 ลิตร,12, 0.750 ,40.00%,
120,JW-009,JOHNNIE WALKER GOLD RESERVE ,จอห์น วอล์เกอร์ โกลด์ รีเสริฟ  0.75 ลิตร,6, 0.750 ,40.00%,
121,JW-010,JOHNNIE WALKER GOLD RESERVE,จอห์น วอล์เกอร์ โกลด์ รีเสริฟ  1 ลิตร,6, 1.000 ,40.00%,
122,JW-011,JOHNNIE WALKER  ISLAND GREEN,จอห์น วอลเกอร์  ไอซ์แลนด์ กรีน  1 ลิตร,6, 1.000 ,43.00%,
123,JW-012,JOHNNIE WALKER PLATINUM 18YO,จอห์น วอลเกอร์ แพตตินัม 18 ปี,6, 1.000 ,40.00%,
124,JW-013,JOHNNIE WALKER GREEN LABEL,จอห์น วอลเกอร์ กรีน,6, 0.750 ,43.00%,
125,JW-014,JOHNNIE WALKER KING GEORGE ,จอห์น วอล์เกอร์ คิง ,3, 0.750 ,43.00%,
126,JW-015,JOHNNIE WALKER BLACK LABEL ,จอห์น วอลเกอร์ แบล็ค 4.5 ลิตร,3, 4.500 ,40.00%,
127,JW-016,JOHNNIE WALKER XR 21 YO,จอห์น วอลเกอร์ 21ปี,6, 0.750 ,40.00%,
128,JW-017,JOHNNIE WALKER GOLD 18YO,จอห์น วอลเกอร์ โกล 18 ปี 1ลิตร,6, 1.000 ,40.00%,
129,JW-018,JOHNNIE WALKER WHITE WALKER ,จอห์น วอลเกอร์ ไวน์ 1 ลิตร,12, 1.000 ,41.70%,
130,K-001,KAIKEN TERROIR SERIES MALBEC ,ไคเค็น เทอโร่ ,12, 0.750 ,14.00%,
131,K-002,KING ROBERT II FINEST SCOTCH WHISKY  ,คิง โรเบิดร์ ทู ฟิสเนส สก๊อต วิสกี้ 0.7 ลิตร,12, 0.700 ,40.00%,
132,K-003,KING ROBERT II FINEST SCOTCH WHISKY ,คิง โรเบิดร์ ทู ฟิสเนส สก๊อต วิสกี้ 1 ลิตร,12, 1.000 ,40.00%,
133,L-001,LAPHROAIG 10YO,ลาโพอิก 10ปี,6, 0.700 ,40.00%,
134,M-001,MACALLAN SELECT OAK ,แมคคาเล็น เซเร็ค โอ๊ก,12, 1.000 ,40.00%,
135,M-002,MONKEY SHOULDER,มั้งกี้ โชลเดอร์ 0.70 ลิตร,6, 0.700 ,40.00%,
136,M-003,MARTELL XO ,มาเตล เอ็กโอ,10, 0.700 ,40.00%,
137,M-004,MARTELL XO SUPREME,มาเตล เอ็กโอ ซูพรีม,12, 0.700 ,40.00%,
138,M-005,MOUTON CADET BARON PHILLIPE DE ROTHSCHILD R/W ,มูต้อง,6, 0.750 ,13.50%,
139,M-006,MOUTES RESERVA CABERNET SAUVIGNON,มูเทส รีเซิฟ,12, 0.750 ,14.00%,
140,M-007,MOET & CHANDON,โมเอต แอนด์ แชนดอน,6, 0.750 ,12.00%,
141,M-008,MACALLAN RARE BLACK ,เม็คแคเลน แรร์ แบล็ค 0.7 ลิตร,6, 0.700 ,48.00%,
142,M-009,MALIBU LIQUEUR ,มาลิบู ลิเควีย,12, 0.750 ,21.00%,
143,M-010,MONKEY SHOULDER,มั้งกี้ โชลเดอร์ 1 ลิตร,6, 1.000 ,40.00%,
144,M-011,MARTELL CORDON  BLEU ,มาเตล กอร์ดอง บลู 0.70 ลิตร ,12, 0.700 ,40.00%,
145,M-012,MOUTON CADET ROUGE 2014 A.O.C. BORDEAUX,มูตอง คาร์เดต 2014,12, 0.750 ,13.00%,
146,M-013,MOUTON CADET ROUGE 2015 A.O.C. BORDEAUX  ,มูตอง คาร์เดต 2015,12, 0.750 ,13.50%,
147,M-014,MOUTON CADET ROUGE 2016 A.O.C. BORDEAUX  ,มูตอง คาร์เดต 2016,12, 0.750 ,13.50%,
148,M-015,MACALLAN 12 YEAR SHERRY OAK,เม็คแคเลน 12ปี เชอรี่ โอ๊ค,12, 0.750 ,43.00%,
149,M-016,MACALLAN SHERRY OAK,เม็คแคเลน เชอรี่ โอ๊ค,12, 0.700 ,40.00%,
150,M-017, MACALLAN QUEST,แมคคาเล็น เควส,12, 1.000 ,40.00%,
151,M-018,MACALLAN ENIGMA,แมคคาเล็น เอนิกม่า,6, 0.700 ,44.90%,
152,M-019,MACALLAN LUMINA,แมคคาเล็น ลูมีน่า,6, 0.700 ,41.30%,
153,M-020,MONTON CADET ROUGE 2015 A.O.C. BORDEAUX,มูต้อง 2015,12, 0.750 ,13.50%,
154,M-021,MONTON CADET ROUGE 2016 A.O.C. BORDEAUX,มูต้อง 2016,12, 0.750 ,13.50%,
155,M-022,MACALLAN 12YO TRIPLE OAK,แมคคาเล็น 12 ปี,6, 0.700 ,40.00%,
156,O-001,OPUS ONE 2014  ,โอ พลัส วัน 2014,3, 0.750 ,14.50%,
157,O-002,OPUS ONE  2014,โอ พลัส วัน 2014,6, 0.750 ,14.50%,
158,O-003,OVAL 24,โอวอล 24,6, 0.700 ,24.00%,
159,O-004,OVAL 42,โอวอล 42,6, 0.700 ,42.00%,
160,O-005,OVAL 42 ROWAN BERRY,โอวอล 42 โรวาน เบอรี่,6, 0.700 ,42.00%,
161,O-006,OVAL 56 ,โอวาล 56,6, 0.700 ,56.00%,
162,O-007,OVAL 56 ,โอวาล 56,5, 0.700 ,56.00%,
163,O-008,OLD PARR 12YO  ,โอปาร์ 12 ปี,12, 1.000 ,40.00%,
164,O-009,OPUS  ONE  2015,โอ พลัส วัน 2015,6, 0.750 ,14.50%,
165,O-010,OPUS ONE 2016 -NAPA VALLEY ROUGE,โอ พลัส วัน 2016,60, 0.750 ,14.50%,
166,P-001,PENFOLD  BIN2  SHIRAZ  MATARO  ,บิน 2,6, 0.750 ,14.50%,
167,P-002,PENFOLD BIN8 CABERNET SHIRAZ ,บิน 8,6, 0.750 ,14.50%,
