รหัสสินค้า,ชื่อสินค้า,จำนวนขวด/ลัง, ปริมาณลิตร/ขวด ,แอลกอฮอล %,พิกัด,ชนิดสินค้า,ประเทศ,เลข 28 หลัก,วันที่ 28 หลัก,สต็อก,Invoice No: ,วันที่ Invoice ,ใบขนขาเข้า,วันที่ใบขน,รายการที่,เลขที่ใบอนุญาต,วันที่ใบอนุญาต,เลขที่ กนอ.ขาเข้า,วันที่ กนอ., จำนวนสินค้าเข้า , ราคา ,เรตไทย,เงินรวม,จำนวนสินค้าคงเหลือ,ราคาต้นทุน (บาท),ชื่อภาษาไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-019,BALVENIE 16YO TRIPLE CASK,6, 0.700 ,40.00%,22083000,วิสกี้,GB,1302020200PR7000000259AA0701,11/10/2019,หลัก,,,,,,,,,,,,,,,,บาร์เวนนี่  16 ปี  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-020,BALVENIE  12YO  DOUBLEWOOD ,6, 0.700 ,40.00%,22083000,วิสกี้,GB,1302020200PS0000000257990701,20/12/2019,หลัก,,,,,,,,,,,,,,,,บาร์เวนนี่  12 ปี  ดับเบิ้ลวูด,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-021,BAILEY S IRISH CREAM ,12, 0.700 ,17.00%,22087010,ลิเคียว,IE, 1302020200Ihr000000AC7990701 ,18/03/2020,หลัก,,,,,,,,,,,,,,,,ไบเร่ย์ ไอริช ครีม,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-001,CHIVAS REGAL 12YO,12, 0.750 ,40.00%,22083000,วิสกี้,GB,13020202003Ck000000250140701,05/11/2018,หลัก ,,,,,,,,,,,,,,,,ชีวาส รีกัล 12 ปี 0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-002,CHIVAS REGAL 12YO,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202003Ck000000250150701,10/10/2017,หลัก,JLD13/2019  ,01/11/2019,A0120621100553,11/11/2019,3,2563/0050-63-853-00047,07/11/2019,3-2-42-118498-2562,11/01/2019,165, 200.00 ,30.4598," 1,005,173.40 ",97," 6,091.96 ",ชีวาส รีกัล 12 ปี 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-002,CHIVAS REGAL 12YO,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202003Ck000000250150701,10/10/2017,หลัก,JLD02/2020,05/02/2020,A0210630204389,21/02/2020,3,2563/0050-63-853-00181,07/02/2020,3-2-42-000175-2563,15/01/2020,50, 200.00 ,30.5822," 305,822.00 ",50," 6,116.44 ",ชีวาส รีกัล 12 ปี 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-003,CHIVAS REGAL 12YO ,2, 4.500 ,40.00%,22083000,วิสกี้,GB,13020202003Ck000000250970701,04/12/2017,หลัก,,,,,,,,,,,,,,,,ชีวาส รีกัล 12 ปี 4.5 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-004,CHIVAS REGAL 18YO  ,6, 0.750 ,40.00%,22083000,วิสกี้,GB,1302020200OTy000000250140701,12/03/2019,หลัก,,,,,,,,,,,,,,,,ชีวาส รีกัล 18 ปี 0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-005,CHIVAS REGAL 18YO ,6, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200OTy000000250150701,04/12/2017,หลัก,JLD07/2018  , 03/07/2018,A0160610706631,16/07/2018,2,2561/0050-61-853-00393,09/07/2018,3-2-42-114049-2561,12/01/2018,20, 245.00 ,32.8452," 160,941.48 ",4," 8,047.07 ",ชีวาส รีกัล 18 ปี 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-005,CHIVAS REGAL 18YO ,6, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200OTy000000250150701,04/12/2017,หลัก,JLD15/2018 , 30/10/2018,A0070611105380,07/11/2018,4,2562/0050-62-853-00014,05/11/2018,3-2-42-114049-2561,12/01/2018,10, 245.00 ,32.8306," 80,434.97 ",10," 8,043.50 ",ชีวาส รีกัล 18 ปี 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
