รหัสสินค้า,ชื่อสินค้า,จำนวนขวด/ลัง, ปริมาณลิตร/ขวด ,แอลกอฮอล %,พิกัด,ชนิดสินค้า,ประเทศ,เลข 28 หลัก,วันที่ 28 หลัก,สต็อก,Invoice No: ,วันที่ Invoice ,ใบขนขาเข้า,วันที่ใบขน,รายการที่,เลขที่ใบอนุญาต,วันที่ใบอนุญาต,เลขที่ กนอ.ขาเข้า,วันที่ กนอ., จำนวนสินค้าเข้า , ราคา ,เรตไทย,เงินรวม,จำนวนสินค้าคงเหลือ,ราคาต้นทุน (บาท),ชื่อภาษาไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-007,JOHNNIE WALKER DOUBLE BLACK ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200Mlw000000250150101,10/10/2017,หลัก,JLD02/2020  ,05/02/2020,A0210630204389,21/02/2020,5,2563/0050-63-853-00181,07/02/2020,3-2-42-000175-2563,15/01/2020,20, 250.00 ,30.5822," 152,911.00 ",20," 7,645.55 ",จอห์น วอล์เกอร์  ดับเบิ้ล แบล็ค 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-008,JOHNNIE WALKER SWING,12, 0.750 ,40.00%,22083000,วิสกี้,GB,13020202003I8000000250140701,10/10/2017,หลัก,JLD05/2019 ,29/04/2019,A0080620507581,08/05/2019,13,2562/0050-62-853-00223,30/04/2019,3-2-42-118498-2562,11/01/2019,30, 285.00 ,32.0022," 273,618.81 ",4," 9,120.63 ",จอนห์นี่ วอคเกอร์ สวิง 0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-008,JOHNNIE WALKER SWING,12, 0.750 ,40.00%,22083000,วิสกี้,GB,13020202003I8000000250140701,10/10/2017,หลัก,JLD08/2019  ,26/07/2019,A0080620812781,08/08/2019,5,2562/0050-62-853-00301,02/08/2019,3-2-42-118498-2562,11/01/2019,30, 290.00 ,31.0324," 269,981.88 ",30," 8,999.40 ",จอนห์นี่ วอคเกอร์ สวิง 0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-008,JOHNNIE WALKER SWING,12, 0.750 ,40.00%,22083000,วิสกี้,GB,13020202003I8000000250140701,10/10/2017,หลัก,JLD11/2019  ,30/09/2019,A0170621013236,14/10/2019,7,2563/0050-63-853-00012,11/10/2019,3-2-42-118498-2562,11/01/2019,10, 290.00 ,30.7012," 89,033.48 ",10," 8,903.35 ",จอนห์นี่ วอคเกอร์ สวิง 0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-009,JOHNNIE WALKER GOLD RESERVE ,6, 0.750 ,40.00%,22083000,วิสกี้,GB,1302020200OTU000000250140701,04/12/2017,หลัก,JLD15/2018 , 30/10/2018,A0070611105380,07/11/2018,9,2562/0050-62-853-00014,05/11/2018,3-2-42-114049-2561,12/01/2018,70, 185.00 ,32.8306," 425,156.27 ",5," 6,073.66 ",จอห์น วอล์เกอร์ โกลด์ รีเสริฟ  0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-009,JOHNNIE WALKER GOLD RESERVE ,6, 0.750 ,40.00%,22083000,วิสกี้,GB,1302020200OTU000000250140701,04/12/2017,หลัก,JLD05/2019  ,29/04/2019,A0080620507581,08/05/2019,11,2562/0050-62-853-0022330,30/04/2019,3-2-42-118498-2562,11/01/2019,50, 143.00 ,32.0022," 228,815.73 ",50," 4,576.31 ",จอห์น วอล์เกอร์ โกลด์ รีเสริฟ  0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-009,JOHNNIE WALKER GOLD RESERVE ,6, 0.750 ,40.00%,22083000,วิสกี้,GB,1302020200OTU000000250140701,04/12/2017,หลัก,JLD15/2019 ,17/12/2019,A0250621203797,23/12/2019,3,2563/0050-63-853-00109,20/12/2019,3-2-42-118498-2562,11/01/2019,20, 143.00 ,30.3796," 86,885.66 ",20," 4,344.28 ",จอห์น วอล์เกอร์ โกลด์ รีเสริฟ  0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-010,JOHNNIE WALKER GOLD RESERVE,6, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200OTU000000250150701,02/02/2018,หลัก,JLD02/2019  ,25/02/2019,A0040620308053,04/03/2019,4,2562/0050-62-853-00151,27/02/2019,3-2-42-118498-2562,11/01/2019,10, 185.00 ,31.3607," 58,017.30 ",6," 5,801.73 ",จอห์น วอล์เกอร์ โกลด์ รีเสริฟ  1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-010,JOHNNIE WALKER GOLD RESERVE,6, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200OTU000000250150701,02/02/2018,หลัก,JLD11/2019  ,30/09/2019,A0170621013236,14/10/2019,11,2563/0050-63-853-00012,11/10/2019,3-2-42-118498-2562,11/01/2019,50, 185.00 ,30.7012," 283,986.10 ",50," 5,679.72 ",จอห์น วอล์เกอร์ โกลด์ รีเสริฟ  1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-010,JOHNNIE WALKER GOLD RESERVE,6, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200OTU000000250150701,02/02/2018,หลัก,JLD15/2019 ,17/12/2019,A0250621203797,23/12/2019,2,2563/0050-63-853-00109,20/12/2019,3-2-42-118498-2562,11/01/2019,10, 185.00 ,30.3796," 56,202.26 ",10," 5,620.23 ",จอห์น วอล์เกอร์ โกลด์ รีเสริฟ  1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-011,JOHNNIE WALKER  ISLAND GREEN,6, 1.000 ,43.00%,22083000,วิสกี้,GB,1302020200Uwd000000670150701,02/02/2018,หลัก ,,,,,,,,,,,,,,,,จอห์น วอลเกอร์  ไอซ์แลนด์ กรีน  1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-012,JOHNNIE WALKER PLATINUM 18YO,6, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200EbA000000259Ba0701,30/03/2018,หลัก,JLD08/2019 ,26/07/2019,A0080620812781,08/08/2019,12,2562/0050-62-853-00301,02/08/2019,3-2-42-118498-2562,11/01/2019,10, 265.00 ,31.0324," 82,235.86 ",5," 8,223.59 ",จอห์น วอลเกอร์ แพตตินัม 18 ปี,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-013,JOHNNIE WALKER GREEN LABEL,6, 0.750 ,43.00%,22083000,วิสกี้,UK,13020202003ID000000bS0140701,01/08/2018,หลัก ,,,,,,,,,,,,,,,,จอห์น วอลเกอร์ กรีน,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-014,JOHNNIE WALKER KING GEORGE ,3, 0.750 ,43.00%,22083000,วิสกี้,GB,1302020200A4L000000bS0140701,12/12/2018,หลัก ,,,,,,,,,,,,,,,,จอห์น วอล์เกอร์ คิง ,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-015,JOHNNIE WALKER BLACK LABEL ,3, 4.500 ,40.00%,22083000,วิสกี้,GB,,,หลัก ,,,,,,,,,,,,,,,,จอห์น วอลเกอร์ แบล็ค 4.5 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-016,JOHNNIE WALKER XR 21 YO,6, 0.750 ,40.00%,22083000,วิสกี้,GB,1302020200EbB000000250140701,02/08/2019,หลัก ,,,,,,,,,,,,,,,,จอห์น วอลเกอร์ 21ปี,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-017,JOHNNIE WALKER GOLD 18YO,6, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202005BM000000259Bh0701,07/02/2020,หลัก ,JLD02/2020,05/02/2020,A0210630204389,21/02/2020,4,2563/0050-63-853-00181,07/02/2020,3-2-42-000175-2563,15/01/2020,5, 265.00 ,30.5822," 40,521.42 ",5," 8,104.28 ",จอห์น วอลเกอร์ โกล 18 ปี 1ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-017,JOHNNIE WALKER GOLD 18YO,6, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202005BM000000259Bh0701,07/02/2020,หลัก ,JLD04/2020 ,17/03/2020,A0250630307131,19/03/2020,4,2563/0050-63-853-00240,18/03/2020,3-2-42-000175-2563,15/01/2020,20, 265.00 ,31.3800," 166,314.00 ",20," 8,315.70 ",จอห์น วอลเกอร์ โกล 18 ปี 1ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-018,JOHNNIE WALKER WHITE WALKER ,12, 1.000 ,41.70%,22083000,วิสกี้,GB,1302020200VoR000000aw0150701,07/02/2020,หลัก ,JLD02/2020,05/02/2020,A0210630204389,21/02/2020,7,2563/0050-63-853-00181,07/02/2020,3-2-42-000175-2563,15/01/2020,10, 245.00 ,30.5822," 74,926.39 ",5," 7,492.64 ",จอห์น วอลเกอร์ ไวน์ 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-001,KAIKEN TERROIR SERIES MALBEC ,12, 0.750 ,14.00%,22042111,ไวน์,CL,1301020100GLK000000320140701,01/08/2018,หลัก ,,,,,,,,,,,,,,,,ไคเค็น เทอโร่ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-002,KING ROBERT II FINEST SCOTCH WHISKY  ,12, 0.700 ,40.00%,22083000,วิสกี้,GB,13020202004mp000000250130701,07/09/2018,หลัก ,JLD11/2018  ,03/09/2018,A0110610905765,11/06/2018,1,2558/0050-61-853-00434,07/09/2018,3-2-42-114049-2561,12/01/2018,687, 11.00 ,33.1120," 250,227.38 ",332, 364.23 ,คิง โรเบิดร์ ทู ฟิสเนส สก๊อต วิสกี้ 0.7 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-002,KING ROBERT II FINEST SCOTCH WHISKY  ,12, 0.700 ,40.00%,22083000,วิสกี้,GB,13020202004mp000000250130701,07/09/2018,หลัก ,JLD13/2018  ,07/08/2018,A0130610913074,13/09/2018,14,2561/0050-61-853-00436,11/09/2018,3-2-42-114049-2561,12/01/2018,270, 11.00 ,33.1120," 98,342.64 ",270, 364.23 ,คิง โรเบิดร์ ทู ฟิสเนส สก๊อต วิสกี้ 0.7 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-002,KING ROBERT II FINEST SCOTCH WHISKY  ,12, 0.700 ,40.00%,22083000,วิสกี้,GB,13020202004mp000000250130701,07/09/2018,หลัก ,JLD11/2019  ,30/09/2019,A0170621013236,14/10/2019,14,2563/0050-63-853-00012,11/10/2019,3-2-42-118498-2562,11/01/2019,275, 28.00 ,30.7012," 236,399.24 ",275, 859.63 ,คิง โรเบิดร์ ทู ฟิสเนส สก๊อต วิสกี้ 0.7 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-002,KING ROBERT II FINEST SCOTCH WHISKY  ,12, 0.700 ,40.00%,22083000,วิสกี้,GB,13020202004mp000000250130701,07/09/2018,หลัก ,JLD15/2019 ,17/12/2019,A0250621203797,23/12/2019,8,2563/0050-63-853-00109,20/12/2019,3-2-42-118498-2562,11/01/2019,75, 28.00 ,30.3796," 63,797.16 ",75, 850.63 ,คิง โรเบิดร์ ทู ฟิสเนส สก๊อต วิสกี้ 0.7 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-003,KING ROBERT II FINEST SCOTCH WHISKY ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202004mp000000250150701,07/09/2018,หลัก ,JLD11/2018  ,03/09/2018,A0110610905765,11/06/2018,2,2561/0050-61-853-00434,07/09/2018,3-2-42-114049-2561,12/01/2018,266, 15.00 ,33.1120," 132,116.88 ",51, 496.68 ,คิง โรเบิดร์ ทู ฟิสเนส สก๊อต วิสกี้ 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-003,KING ROBERT II FINEST SCOTCH WHISKY ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202004mp000000250150702,05/08/2019,หลัก ,JLD08/2019 ,26/07/2019,A0080620812781,08/08/2019,3,2562/0050-62-853-00301,02/08/2019,3-2-42-118498-2562,11/01/2019,75, 25.00 ,31.0324," 58,185.75 ",75, 775.81 ,คิง โรเบิดร์ ทู ฟิสเนส สก๊อต วิสกี้ 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-003,KING ROBERT II FINEST SCOTCH WHISKY ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202004mp000000250150702,05/08/2019,หลัก ,JLD11/2019  ,30/09/2019,A0170621013236,14/10/2019,15,2563/0050-63-853-00012,11/10/2019,3-2-42-118498-2562,11/01/2019,75, 35.00 ,30.7012," 80,590.65 ",75," 1,074.54 ",คิง โรเบิดร์ ทู ฟิสเนส สก๊อต วิสกี้ 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-001,LAPHROAIG 10YO,6, 0.700 ,40.00%,22083000,วิสกี้,GB,,,หลัก ,,,,,,,,,,,,,,,,ลาโพอิก 10ปี,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-001,MACALLAN SELECT OAK ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200OTV000000250150701,10/10/2017,หลัก ,,,,,,,,,,,,,,,,แมคคาเล็น เซเร็ค โอ๊ก,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-002,MONKEY SHOULDER,6, 0.700 ,40.00%,22083000,วิสกี้,GB,,,หลัก,JLD15/2018  ,30/10/2018,A0070611105380,07/11/2018,8,2562/0050-62-853-00014,05/11/2018,3-2-42-114049-2561,12/01/2018,90, 100.00 ,32.8306," 295,475.40 ",10," 3,283.06 ",มั้งกี้ โชลเดอร์ 0.70 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-003,MARTELL XO ,10, 0.700 ,40.00%,22082050,บรั่นดี,FR,130202020032p00000057990701,01/08/2018,หลัก,,,,,,,,,,,,,,,,มาเตล เอ็กโอ,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-004,MARTELL XO,12, 0.700 ,40.00%,22082050,บรั่นดี,FR,130202020032p000000250130701,01/08/2018,หลัก ,,,,,,,,,,,,,,,,มาเตล เอ็กโอ ซูพรีม,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-005,MOUTON CADET BARON PHILLIPE DE ROTHSCHILD R/W ,6, 0.750 ,13.50%,22042111,ไวน์,FR,1301020100GLA000000310140701,01/08/2018,หลัก ,,,,,,,,,,,,,,,,มูต้อง,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-006,MOUTES RESERVA CABERNET SAUVIGNON,12, 0.750 ,14.00%,22042111,ไวน์,CL,1301020100GLI000000320140701,01/08/2018,หลัก ,,,,,,,,,,,,,,,,มูเทส รีเซิฟ,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-007,MOET & CHANDON,6, 0.750 ,12.00%,22042111,ไวน์,FR,1301020200H8o000000283hE0701,10/09/2018,หลัก ,,,,,,,,,,,,,,,,โมเอต แอนด์ แชนดอน,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-008,MACALLAN RARE BLACK ,6, 0.700 ,48.00%,22083000,วิสกี้,GB,1302020200VgH000000770130701,12/12/2018,หลัก,,,,,,,,,,,,,,,,เม็คแคเลน แรร์ แบล็ค 0.7 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-009,MALIBU LIQUEUR ,12, 0.750 ,21.00%,22084000,รัม,CA,1302020200DCm000000090140701,19/03/2019,หลัก,,,,,,,,,,,,,,,,มาลิบู ลิเควีย,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-010,MONKEY SHOULDER,6, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200NEW000000250150701,10/10/2017,หลัก,JLD11/2019  ,30/09/2019,A0170621013236,14/10/2019,5,2563/0050-63-853-00012,11/10/2019,3-2-42-118498-2562,11/01/2019,100, 126.00 ,30.70120," 386,835.12 ",75," 3,868.35 ",มั้งกี้ โชลเดอร์ 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-010,MONKEY SHOULDER,6, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200NEW000000250150701,10/10/2017,หลัก,JLD04/2020 ,17/03/2020,A0250630307131,19/03/2020,8,2563/0050-63-853-00240,18/03/2020,3-2-42-000175-2563,15/01/2020,20, 126.00 ,31.38000," 79,077.60 ",20," 3,953.88 ",มั้งกี้ โชลเดอร์ 1 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-011,MARTELL CORDON  BLEU ,12, 0.700 ,40.00%,22082050,บรั่นดี,FR,,,หลัก,,,,,,,,,,,,,,,,มาเตล กอร์ดอง บลู 0.70 ลิตร ,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-012,MOUTON CADET ROUGE 2014 A.O.C. BORDEAUX,12, 0.750 ,13.00%,22042111,ไวน์,FR,ในประเทศ,,หลัก,,,,,,,,,,,,,,,,มูตอง คาร์เดต 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-013,MOUTON CADET ROUGE 2015 A.O.C. BORDEAUX  ,12, 0.750 ,13.50%,22042111,ไวน์,FR,,,หลัก,,,,,,,,,,,,,,,,มูตอง คาร์เดต 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-014,MOUTON CADET ROUGE 2016 A.O.C. BORDEAUX  ,12, 0.750 ,13.50%,22042111,ไวน์,FR,,,หลัก,,,,,,,,,,,,,,,,มูตอง คาร์เดต 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-015,MACALLAN 12YEAR SHERRY OAK,12, 0.750 ,43.00%,22083000,วิสกี้,GB,1302020200W2J000000bS0140701,16/05/2019,หลัก,,,,,,,,,,,,,,,,เม็คแคเลน 12ปี เชอรี่ โอ๊ค,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-016,MACALLAN SHERRY OAK,12, 0.700 ,40.00%,22083000,วิสกี้,GB,1302020200WBc000000257990701,02/08/2019,หลัก,,,,,,,,,,,,,,,,เม็คแคเลน เชอรี่ โอ๊ค,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-017, MACALLAN QUEST,12, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200Uw5000000259Bh0701,11/10/2019,หลัก,JLD11/2019  ,30/09/2019,A0170621013236,14/10/2019,12,2563/0050-63-853-00012,11/10/2019,3-2-42-118498-2562,11/01/2019,10, 450.00 ,30.7012," 138,155.40 ",7," 13,815.54 ",แมคคาเล็น เควส,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-017, MACALLAN QUEST,12, 1.000 ,40.00%,22083000,วิสกี้,GB,1302020200Uw5000000259Bh0701,11/10/2019,หลัก,JLD02/2020  ,05/02/2020,A0210630204389,21/02/2020,8,2563/0050-63-853-00181,07/02/2020,3-2-42-000175-2563,15/01/2020,20, 450.00 ,30.5822," 275,239.80 ",20," 13,761.99 ",แมคคาเล็น เควส,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-018,MACALLAN ENIGMA,6, 0.700 ,44.90%,22083000,วิสกี้,GB,1302020200Uw8000000as7990701,07/11/2019,หลัก,,,,,,,,,,,,,,,,แมคคาเล็น เอนิกม่า,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-019,MACALLAN LUMINA,6, 0.700 ,41.30%,22083000,วิสกี้,GB,1302020200Uw6000000EF7990701,07/11/2019,หลัก,,,,,,,,,,,,,,,,แมคคาเล็น ลูมีน่า,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-020,MONTON CADET ROUGE 2015 A.O.C. BORDEAUX,12, 0.750 ,13.50%,22042111,ไวน์,US,1301020100KXs000000313hE0701  ,30/04/2019,หลัก,JLD05/2019  ,29/04/2019,A0080620507581,08/05/2019,15,2562/0050-62-853-00223,30/04/2019,3-2-42-118498-2562,11/01/2019,60, 76.89 ,32.0022," 147,638.95 ",5," 2,460.65 ",มูต้อง 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-021,MONTON CADET ROUGE 2016 A.O.C. BORDEAUX,12, 0.750 ,13.50%,22042111,ไวน์,US,1301020100KXt000000313hE0701,30/04/2019,หลัก,,,,,,,,,,,,,,,,มูต้อง 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-022,MACALLAN 12YO TRIPLE OAK,6, 0.700 ,40.00%,22083000,วิสกี้,GB,1302020200Wpa000000257990701,18/03/2020,หลัก,JLD04/2020 ,17/03/2020,A0250630307131,19/03/2020,6,2563/0050-63-853-00240,18/03/2020,3-2-42-000175-2563,15/01/2020,20, 220.00 ,31.3800," 138,072.00 ",20," 6,903.60 ",แมคคาเล็น 12 ปี,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-001,OPUS ONE 2014  ,3, 0.750 ,14.50%,22042111,ไวน์,USA,1301020200BX5000000330140702,05/10/2018,สต็อกพี่วิท,JLD014/2018 ,01/10/2018,A0100611005257,10/10/2018,9,2562/0050-62-853-00002,05/10/2018,3-2-42-114049-2561,12/01/2018,1, 930.00 ,32.7024," 30,413.23 ",1," 30,413.23 ",โอ พลัส วัน 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-002,OPUS ONE  2014  ,6, 0.750 ,14.50%,22042111,ไวน์,USA,1301020200BX5000000330140701,29/08/2018,หลัก,,,,,,,,,,,,,,,,โอ พลัส วัน 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-003,OVAL 24,6, 0.700 ,24.00%,22086000,วอดก้า,FR,1302020200MAr000000120130701,04/07/2018,สต็อกพิเศษ,JLD06/2018 ,02/07/2018,A0090610718297,09/07/2018,8,2561/0050-61-853-00385,04/07/2018,3-2-42-114049-2561,12/01/2018,48, 142.00 ,32.8452," 223,872.88 ",48," 4,664.02 ",โอวอล 24,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-004,OVAL 42,6, 0.700 ,42.00%,22086000,วอดก้า,FR,1302020200MAn000000EO0130701,04/07/2018,สต็อกพิเศษ,JLD06/2018 ,02/07/2018,A0090610718297,09/07/2018,9,2561/0050-61-853-00385,04/07/2018,3-2-42-114049-2561,12/01/2018,13, 142.00 ,32.8452," 60,632.24 ",13," 4,664.02 ",โอวอล 42,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-005,OVAL 42 ROWAN BERRY,6, 0.700 ,42.00%,22086000,วอดก้า,FR,1302020200MAp000000EO0130701,04/07/2018,สต็อกพิเศษ,JLD06/2018 ,02/07/2018,A0090610718297,09/07/2018,10,2561/0050-61-853-00385,04/07/2018,3-2-42-114049-2561,12/01/2018,40, 152.00 ,32.8452," 199,698.82 ",40," 4,992.47 ",โอวอล 42 โรวาน เบอรี่,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-006,OVAL 56 ,6, 0.700 ,56.00%,22086000,วอดก้า,FR,1302020200MAu000000RI0130701,04/07/2018,สต็อกพิเศษ,JLD06/2018 ,02/07/2018,A0090610718297,09/07/2018,11,2561/0050-61-853-00385,04/07/2018,3-2-42-114049-2561,12/01/2018,28, 147.00 ,32.8452," 135,190.84 ",28," 4,828.24 ",โอวาล 56,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-007,OVAL 56 ,5, 0.700 ,56.00%,22086000,วอดก้า,FR,1302020200MAu000000RI0130702,04/07/2018,สต็อกพิเศษ,JLD06/2018 ,02/07/2018,A0090610718297,09/07/2018,12,2561/0050-61-853-00385,04/07/2018,3-2-42-114049-2561,12/01/2018,1, 122.50 ,32.8452," 4,023.54 ",1," 4,023.54 ",โอวาล 56,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-008,OLD PARR 12YO  ,12, 1.000 ,40.00%,22083000,วิสกี้,GB,13020202005DV000000250150701,04/05/2018,หลัก ,,,,,,,,,,,,,,,,โอปาร์ 12 ปี,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-009,OPUS ONE  2015,6, 0.750 ,14.50%,22042111,ไวน์,US,1301020200IN1003PN0330140701,16/05/2019,หลัก,JLD06/2019,02/05/2019,A0280620507084,28/05/2019,4,2562/0050-62-853-00236,16/05/2019,3-2-42-118498-2562,11/01/2019,3," 1,860.00 ",32.0022," 178,572.28 ",1," 59,524.09 ",โอ พลัส วัน 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-010,OPUS ONE 2016-NAPA VALLEY ROUGE,10, 0.750 ,14.50%,22042111,ไวน์,CL,1301020200OML003Lw0330140701,29/01/2020,หลัก,,,,,,,,,,,,,,,,โอ พลัส วัน 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-001,PENFOLD BIN2 SHIRAZ MATARO  ,6, 0.750 ,14.50%,22042111,ไวน์,AU,,,หลัก,,,,,,,,,,,,,,,,บิน 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-002,PENFOLD BIN8 CABERNET SHIRAZ ,6, 0.750 ,14.50%,22042111,ไวน์,AU,,,หลัก,,,,,,,,,,,,,,,,บิน 8,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-003,PENFOLDS Rwsn Ret Cabernet Shiraz Red ,6,0.75,13.50%,22042111,ไวน์,AU,,,หลัก,,,,,,,,,,,,,,,,เพนโฟลต์  รอสัน รีท กาแบเน โซวิยอง ชิราท เรด   0.75 ลิตร,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-001,ROBERT MONDAVI WINERY CABERNET SAUVIGNON ,12, 0.750 ,13.50%,22042111,ไวน์,US,1301020100Fol000000310140701,29/06/2018,หลัก,,,,,,,,,,,,,,,,โรเบริด มอนเดวี่ วินนี่ คาร์เบอร์เน็ต ซาวิญอง,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-002,ROBERT MONDAVI TWIN OAKS  INTL CABERNET SAUVIGNON CA INT  ,6, 0.750 ,13.50%,22042111,ไวน์,US,1301020100Fnd000000310140701,29/06/2018,หลัก,,,,,,,,,,,,,,,,โรเบริด มอนเดวี่  ทวินโอ๊ค คาร์เบอร์เน็ต ซาวิญอง ,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-003,ROBERT MONDAVI TWIN OAKS INTL CHARDONNAY  CA INT,6, 0.750 ,13.50%,22042111,ไวน์,US,1301020100Fne000000310140701,29/06/2018,หลัก,,,,,,,,,,,,,,,,โรเบริด มอนเดวี่  ทวินโอ๊ค  ชาร์โดเนย์,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-004,ROBERT MONDAVI CABERNET SAUVIGNON  2015,12, 0.750 ,14.50%,22042111,ไวน์,USA,1301020100Gpl000000330140701,29/08/2018,หลัก,JLD10/2018 , 24/07/2018,A0040610905604,04/09/2018,1,2561/0050-61-853-00426,29/08/2018,3-2-42-114049-2561,12-Jan-18,60, 216.00 ,33.1120," 429,131.52 ",46," 7,152.19 ",โรเบริด มอนเดวี่  คาร์เบอร์เน็ต ซาวิญอง 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-005,ROBERT MONDAVI  PRIVATE  SELECTION CABERNET SAUVIGNON 2015,12, 0.750 ,13.50%,22042111,ไวน์,USA,1301020100BYe000000310140701,29/08/2018,หลัก,,,,,,,,,,,,,,,,โรเบริด มอนเดวี่  ไพรเวท ซีเลคชั่น  คาร์เบอร์เน็ต โซวิญอง  2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-006,ROBERT MONDAVI  RESERVE CABERNET SAUVIGNON  2015 ,6, 0.750 ,14.00%,22042111,ไวน์,US,1301020200I8H000000320140701,13/11/2018,หลัก,JLD16/2018  ,16/10/2018,A0260611114768,26/11/2018,3,2562/0050-62-853-00025,13/11/2018,3-2-42-114049-2561,12-Jan-18,50, 552.00 ,32.8306," 906,124.56 ",3," 18,122.49 ",โรเบริด มอนเดวี่  รีเซอวี่  คาร์เบอร์เน็ต ซาวิญอง,,,,,,,,,,,,,,,,,,,,,,,,,,,
